recno,UDF,RAJ2000,DEJ2000,ell,R50,Sty,Bmag,Vmag,imag,zmag,Flags
2,2,53.1644845,-27.8292912,0.22,2.81,0.68,30.6925,30.14,30.2031,30.1284,0
3,3,53.1629599,-27.8291433,0.172,3.09,0.94,,29.9856,29.8455,30.3003,0
4,4,53.1640358,-27.8288901,0.096,4.24,0.03,28.0841,27.4007,27.0009,27.06,0
6,6,53.1643802,-27.8285956,0.228,4.07,0.03,25.3609,25.34,25.328,25.1837,0
7,7,53.1642849,-27.8289114,0.227,3.73,0.23,28.9935,28.627,28.8143,29.0111,0
9,9,53.1646782,-27.8286704,0.046,3.37,0.02,27.6534,27.8086,27.8379,27.7179,0
8,8,53.1629174,-27.8288636,0.128,3.09,0.02,29.9745,29.3697,28.8709,28.7354,0
11,11,53.1618581,-27.8275823,0.465,6.72,0.03,28.1008,26.8524,25.8899,25.6109,0
19,19,53.163338,-27.8276493,0.163,3.87,0.85,33.8713,34.5228,30.5355,30.2839,0
20,20,53.1627148,-27.8274369,0.117,4.13,0.02,27.2364,27.3321,27.4164,27.3328,0
21,21,53.1623159,-27.8273129,0.208,3.62,0.03,28.094,27.4111,26.8269,26.8986,0
69,69,53.1705494,-27.8246688,0.494,4.41,0.0,31.4556,29.3729,29.0081,29.0229,0
93,93,53.1709917,-27.8240718,0.201,2.96,0.05,32.1525,29.8012,28.7354,29.0115,0
1,1,53.165509,-27.8284816,0.776,23.01,0.03,24.1523,23.3583,22.8339,22.7155,1
10,10,53.1662125,-27.8285959,0.583,3.79,0.1,29.7672,29.2951,29.1969,29.5026,0
14,14,53.1643771,-27.827832,0.17,4.31,0.01,28.9958,28.7801,28.6671,28.7088,0
16,16,53.1662177,-27.8276013,0.669,5.77,0.0,,29.7901,29.3072,29.3419,0
18,18,53.1662496,-27.8277103,0.282,1.84,0.75,,32.3654,32.025,31.1315,0
25,25,53.1661818,-27.8272991,0.008,2.5,0.92,30.6442,30.7639,30.4303,30.1077,0
22,22,53.1668843,-27.8269618,0.312,11.51,0.0,27.7775,27.6631,26.9172,26.5441,0
23,23,53.1673624,-27.827267,0.485,5.26,0.01,28.7209,28.7447,28.9529,28.9405,0
27,27,53.1669416,-27.82716,0.19,5.34,0.96,30.1383,29.8061,29.8698,30.0775,0
28,28,53.1672049,-27.8269153,0.451,11.1,0.0,31.3758,30.344,30.2369,28.5909,0
38,38,53.1679753,-27.8265414,0.357,5.26,0.01,30.5783,28.3961,28.1157,28.2052,0
40,40,53.1667305,-27.8266479,0.142,3.24,0.63,29.902,29.8739,29.9101,30.1223,0
42,42,53.1677182,-27.8265456,0.086,3.72,0.93,,30.7147,30.352,30.1943,0
45,45,53.1677138,-27.8262644,0.222,3.98,0.69,30.1942,30.0833,29.8154,29.6654,0
12,12,53.1638515,-27.8275163,0.274,9.31,0.03,26.2984,25.4706,24.8972,24.8003,0
26,26,53.1648527,-27.8272351,0.439,2.75,0.47,31.5872,30.0307,29.801,30.0411,0
31,31,53.1632526,-27.8267024,0.195,3.87,0.03,26.7334,26.3459,25.6075,25.3299,0
32,32,53.1641861,-27.8270716,0.324,4.26,0.02,29.3842,29.8629,29.7199,29.7266,0
33,33,53.1644194,-27.8269603,0.148,3.69,0.1,28.8089,28.4673,28.5589,28.7336,0
35,35,53.1652295,-27.8268295,0.455,2.79,0.75,31.7838,31.3071,31.0394,30.9891,0
36,36,53.1644533,-27.8267767,0.092,2.42,0.95,29.461,29.5742,29.7088,29.9312,0
43,43,53.1644167,-27.8264142,0.237,3.65,0.18,32.2411,30.3944,29.7634,29.4139,0
50,50,53.1647035,-27.8257299,0.2,2.63,0.0,30.535,30.362,29.0316,28.7929,0
34,34,53.1659192,-27.8260954,0.205,7.97,0.03,27.3853,25.8666,24.7436,24.3793,0
52,52,53.1663143,-27.8257971,0.476,4.45,0.0,29.2277,29.0049,29.1257,29.239,0
54,54,53.1654428,-27.8256283,0.185,3.35,0.0,29.275,28.9334,29.0838,29.2333,0
48,48,53.1681549,-27.8259299,0.183,3.71,0.02,27.6286,27.7489,27.8337,27.6471,0
51,51,53.1688364,-27.8256971,0.356,5.5,0.02,27.2334,27.2366,27.3157,27.4731,0
55,55,53.1686725,-27.8251671,0.423,7.24,0.03,26.7834,26.5385,26.4261,26.397,2
56,56,53.1684367,-27.8253182,0.295,4.5,0.07,27.4371,27.3836,27.3569,27.3564,3
57,57,53.1677025,-27.8254137,0.528,3.13,0.01,,29.6341,29.3153,29.0876,0
66,66,53.1695438,-27.8251342,0.359,3.31,0.94,30.8722,31.7472,30.23,30.1758,0
74,74,53.1685582,-27.8245925,0.142,2.59,0.86,30.6351,30.7143,30.8042,30.5699,0
86,86,53.1686521,-27.8242626,0.227,2.47,0.81,31.8132,30.5229,30.4402,30.3292,0
59,59,53.1699586,-27.8240172,0.448,10.18,0.03,25.3016,24.9257,24.7511,24.5083,3
72,72,53.1697745,-27.8240058,0.62,14.47,0.03,26.1028,25.5049,25.1425,24.7171,3
73,73,53.1706149,-27.8237712,0.096,9.82,0.03,25.6181,25.0953,25.005,25.0028,0
78,78,53.1697897,-27.8238444,0.516,16.16,0.03,25.3,24.8247,24.5686,24.2844,3
101,101,53.1689705,-27.8237913,0.165,3.48,0.29,30.1269,30.3237,30.0851,29.9252,0
106,106,53.1690993,-27.8235588,0.166,6.35,0.0,29.6067,28.4696,28.0044,27.8732,0
114,114,53.1695149,-27.823502,0.019,2.98,0.02,32.2929,30.5978,29.4052,29.1852,0
115,115,53.1705266,-27.8235381,0.266,4.75,0.61,30.8944,30.2549,29.9267,29.6862,0
124,124,53.1704787,-27.8233697,0.239,3.52,0.02,31.3813,29.5407,29.3805,29.4743,0
125,125,53.1691779,-27.8233577,0.207,2.58,0.16,29.995,29.3452,29.5257,29.725,0
127,127,53.169099,-27.823214,0.365,3.4,0.01,28.2644,28.3697,28.5454,28.8004,0
134,134,53.1700631,-27.8231045,0.579,3.99,0.91,31.6283,31.4699,31.0384,30.3763,0
60,60,53.1671385,-27.8244703,0.384,10.28,0.03,25.5166,24.8826,24.4724,24.2362,0
67,67,53.1667691,-27.8248639,0.189,3.04,0.03,29.3952,29.2183,29.2084,29.3489,0
71,71,53.1669578,-27.8240713,0.668,7.38,0.03,26.3472,26.2273,26.2091,26.1639,0
75,75,53.16659,-27.8242877,0.27,4.57,0.02,27.872,27.4743,27.4377,27.4346,0
83,83,53.1673992,-27.8242797,0.187,2.5,0.23,28.3452,28.5186,28.6419,28.822,0
84,84,53.1664052,-27.8243573,0.288,2.23,0.87,32.5915,30.872,30.6813,30.7861,0
95,95,53.1660072,-27.8238735,0.289,3.42,0.02,28.9849,29.2153,27.4576,27.827,0
97,97,53.1676939,-27.8239197,0.191,4.26,0.34,34.9806,32.7142,29.459,29.5912,0
100,100,53.1674073,-27.8238111,0.596,3.85,0.03,30.1533,29.6871,29.9069,29.7025,0
102,102,53.1664533,-27.8237302,0.202,2.92,0.5,28.912,28.8621,28.9465,29.2628,0
108,108,53.1673798,-27.8236804,0.233,3.83,0.21,29.6162,28.8916,28.9901,29.3043,0
120,120,53.1670373,-27.8235005,0.37,2.97,0.84,29.8564,29.6182,29.7313,29.9984,0
77,77,53.1681023,-27.823198,0.341,9.29,0.03,26.0133,25.1678,24.3903,24.1639,0
121,121,53.1686109,-27.8234346,0.198,2.61,0.74,29.7984,29.5993,29.7498,30.1814,0
131,131,53.168852,-27.823112,0.242,3.82,0.01,,30.0322,28.6785,28.6044,0
144,144,53.1672576,-27.8228193,0.4,4.24,0.87,31.186,31.0651,30.8428,30.4213,0
148,148,53.1684336,-27.8226868,0.458,3.98,0.05,29.7483,29.6219,29.5367,29.6436,0
151,151,53.1685247,-27.8223982,0.326,5.84,0.03,30.4672,28.0615,26.7648,26.7557,0
157,157,53.1682907,-27.8226274,0.392,2.68,0.89,30.7669,31.4339,31.0726,30.362,0
161,161,53.1688216,-27.8226556,0.212,2.35,0.88,,31.4424,30.3953,30.4541,0
184,184,53.1678798,-27.8219658,0.2,3.92,0.01,28.9469,28.6708,28.0853,27.6795,0
187,187,53.1677872,-27.8221163,0.131,2.43,0.92,30.6364,30.3208,29.9472,30.3122,0
194,194,53.168398,-27.8217697,0.168,3.49,0.02,28.5491,28.2279,27.7611,27.6423,0
197,197,53.1678966,-27.8217408,0.126,3.02,0.04,29.1692,29.1742,28.7711,28.3711,0
24,24,53.1607849,-27.8272573,0.06,2.78,0.02,29.5232,29.2908,29.3379,29.3222,0
29,29,53.1602877,-27.827149,0.733,4.18,0.79,33.8536,,33.537,31.049,0
15,15,53.161222,-27.8276493,0.242,3.94,0.01,28.2386,28.2885,28.2761,28.3065,0
17,17,53.1623253,-27.8269457,0.046,2.57,0.96,26.5414,24.6349,23.6225,23.2937,0
30,30,53.1615139,-27.826894,0.239,3.63,0.03,27.2526,27.2188,27.2813,26.9884,0
37,37,53.1620664,-27.8267059,0.387,6.2,0.06,29.8674,29.5913,29.5499,29.3796,0
39,39,53.1625024,-27.8262723,0.283,6.83,0.0,27.6388,27.7431,27.5832,27.1218,0
41,41,53.1625304,-27.8265582,0.179,3.14,0.9,31.8216,31.0442,31.2246,30.3485,0
46,46,53.161025,-27.8261184,0.153,4.64,0.0,29.6678,29.6073,29.6447,29.5645,0
53,53,53.1609601,-27.8257464,0.587,4.47,0.17,30.3082,30.2728,30.3386,29.9568,16
47,47,53.1592494,-27.826205,0.396,2.29,0.67,30.5555,30.6846,30.4509,30.7483,0
13,13,53.1602788,-27.8255138,0.648,16.92,0.03,24.5718,23.5807,22.7335,22.4635,0
63,63,53.1594661,-27.8252317,0.203,3.85,0.92,,30.901,29.9812,30.5586,0
